"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"WWE","World Wrestling Entertainment, Inc.","8.59","642135047.51","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/wwe",
"SCD","LMP Capital and Income Fund Inc.","14.87","267412131.97","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/scd",
"BBG","Bill Barrett Corporation","17.2","828209205.6","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"VVR","Invesco Senior Income Trust","5.57","1002599443","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/vvr",
"CCJ","Cameco Corporation","21.99","8693755164.06","n/a","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ccj",
"IRF","International Rectifier Corporation","21.2","1466617250.8","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/irf",
"MTDR","Matador Resources Company","8.06","447891516.02","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mtdr",
"SBGL","Sibanye Gold Limited","5.86","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sbgl",
"DPD","Dow 30 Premium","14.05","168820219.7","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/dpd",
"EGY","Vaalco Energy Inc","8.26","477806308","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egy",
"KND","Kindred Healthcare, Inc.","11.51","613304917.28","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/knd",
"CIR","CIRCOR International, Inc.","42.65","743335121.25","n/a","1983","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cir",
"IRL","New Ireland Fund, Inc. (The)","9.97","50624649.06","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/irl",
"VSH","Vishay Intertechnology, Inc.","13.7","1964515815.5","n/a","1973","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vsh",
"NRG","NRG Energy, Inc.","24.03","5485996254.15","n/a","1993","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nrg",
"DRD","DRDGOLD Limited","7.33","282486296.08","n/a","1998","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/drd",
"FCN","FTI Consulting, Inc.","34.93","1448574485.12","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/fcn",
"LEA","Lear Corporation","54.13","5180483881.31","n/a","1994","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/lea",
"BAH","Booz Allen Hamilton Holding Corporation","12.87","1809229053.06","n/a","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"WEC","Wisconsin Energy Corporation","40.37","9287929694.78","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/wec",
